title,author,publisher,pub_date,price,score,image_src,image_name
Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,2019년 06월,"16,920",9.6,https://image.yes24.com/goods/74419916/L,74419916
혼자 공부하는 파이썬,윤인성,한빛미디어,2022년 06월,"19,800",9.6,https://image.yes24.com/goods/109625396/L,109625396
만들면서 배우는 파이썬과 40개의 작품들,장문철,앤써북,2022년 02월,"16,920",9.7,https://image.yes24.com/goods/107490270/L,107490270
모두의 데이터 분석 with 파이썬,송석리,길벗,2019년 04월,"16,200",9.4,https://image.yes24.com/goods/72227684/L,72227684
혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,2020년 12월,"23,400",9.8,https://image.yes24.com/goods/96024871/L,96024871
이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈,한빛미디어,2020년 08월,"30,600",9.6,https://image.yes24.com/goods/91433923/L,91433923
전문가를 위한 파이썬 프로그래밍,미하우 야보르스키,제이펍,2022년 08월,"34,200",,https://image.yes24.com/goods/111157036/L,111157036
파이썬 알고리즘 인터뷰,박상길,책만,2020년 07월,"34,200",9.2,https://image.yes24.com/goods/91084402/L,91084402
1일 1로그 100일 완성 IT 지식,브라이언 W. 커니핸,인사이트(insight),2021년 12월,"18,000",9.9,https://image.yes24.com/goods/105803863/L,105803863
"일잘러의 비밀, 엑셀 대신 파이썬으로 업무 자동화하기",포스코인재창조원,한빛미디어,2022년 05월,"21,600",9.4,https://image.yes24.com/goods/109003861/L,109003861
파이썬 머신러닝 완벽 가이드,권철민,위키북스,2022년 04월,"36,000",10,https://image.yes24.com/goods/108824557/L,108824557
클린 코드 이제는 파이썬이다,알 스웨이가트,책만,2022년 08월,"27,000",,https://image.yes24.com/goods/111408257/L,111408257
핸즈온 머신러닝,오렐리앙 제롱,한빛미디어,2020년 05월,"49,500",9.2,https://image.yes24.com/goods/89959711/L,89959711
밑바닥부터 시작하는 딥러닝,사이토 고키,한빛미디어,2017년 01월,"21,600",9.5,https://image.yes24.com/goods/34970929/L,34970929
예제부터 배우는 거꾸로 파이썬,구재홍,비제이퍼블릭(BJ퍼블릭),,"20,700",,https://image.yes24.com/goods/111379316/L,111379316
Do it! 쉽게 배우는 파이썬 데이터 분석,김영우,이지스퍼블리싱,2022년 05월,"20,700",10,https://image.yes24.com/goods/108947478/L,108947478
백엔드를 위한 Django REST Framework with 파이썬,권태형,영진닷컴,2022년 05월,"16,200",10,https://image.yes24.com/goods/109337398/L,109337398
Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,시바타 보요,이지스퍼블리싱,2020년 07월,"19,800",9.6,https://image.yes24.com/goods/91219874/L,91219874
파이토치 딥러닝 마스터,엘리 스티븐스,책만,2022년 06월,"31,500",,https://image.yes24.com/goods/110242151/L,110242151
밑바닥부터 시작하는 딥러닝 2,사이토 고키,한빛미디어,2019년 05월,"26,100",9.8,https://image.yes24.com/goods/72173703/L,72173703
Python을 이용한 개인화 추천 시스템,임일,도서출판청람(이수영),2022년 06월,"20,000",,https://image.yes24.com/goods/110328538/L,110328538
모두의 인공지능 기초 수학,서지영,길벗,2020년 08월,"22,500",9.1,https://image.yes24.com/goods/91358533/L,91358533
파이썬 한권으로 끝내기,데싸라면,시대고시기획 시대교육,2022년 06월,"24,300",10,https://image.yes24.com/goods/109181647/L,109181647
"머신 러닝 교과서 with 파이썬, 사이킷런, 텐서플로",세바스찬 라시카,길벗,2021년 03월,"39,600",10,https://image.yes24.com/goods/98809693/L,98809693
Do it! 첫 파이썬,엘리스 코딩,이지스퍼블리싱,2020년 04월,"12,600",9.7,https://image.yes24.com/goods/89904189/L,89904189
파이썬 코딩의 기술(개정2판),브렛 슬라킨,길벗,2020년 10월,"28,800",9.7,https://image.yes24.com/goods/94197582/L,94197582
밑바닥부터 시작하는 딥러닝 3,사이토 고키,한빛미디어,2020년 11월,"34,200",9.5,https://image.yes24.com/goods/95343845/L,95343845
파이썬 라이브러리를 활용한 데이터 분석,웨스 맥키니,한빛미디어,2019년 05월,"31,500",9.1,https://image.yes24.com/goods/73268296/L,73268296
쉽게 따라 만드는 파이썬 주식 자동매매 시스템,박준성,길벗,2021년 10월,"25,200",9.6,https://image.yes24.com/goods/104102229/L,104102229
나는 파이썬으로 머신러닝한다 1,최정원,씨마스,2022년 06월,"19,800",9.9,https://image.yes24.com/goods/109838545/L,109838545
파이썬을 활용한 베이지안 통계,앨런 B. 다우니,한빛미디어,2022년 06월,"28,800",9.8,https://image.yes24.com/goods/110225436/L,110225436
Black Hat Python 2/e,저스틴 지이츠,에이콘출판사,2022년 04월,"25,200",,https://image.yes24.com/goods/108802330/L,108802330
파이썬 자동화 교과서,구지라 히코즈쿠에,제이펍,2022년 07월,"24,300",9.5,https://image.yes24.com/goods/110509098/L,110509098
모두의 파이썬,이승찬,길벗,2018년 10월,"10,800",9.6,https://image.yes24.com/goods/66531799/L,66531799
Do it! 점프 투 파이썬 라이브러리 예제 편,박응용,이지스퍼블리싱,2022년 05월,"23,400",8,https://image.yes24.com/goods/109209932/L,109209932
혼자 공부하는 첫 프로그래밍 with 파이썬,문현일,한빛미디어,2020년 06월,"15,300",9.5,https://image.yes24.com/goods/90617738/L,90617738
python으로 배우는 OpenCV 프로그래밍,김동근,가메출판사,2021년 12월,"25,200",,https://image.yes24.com/goods/105655600/L,105655600
한 권으로 끝내는 아두이노와 파이썬으로 52개 작품 만들기,장문철,앤써북,2022년 03월,"19,800",9.4,https://image.yes24.com/goods/107663960/L,107663960
파이썬 라이브러리를 활용한 머신러닝,안드레아스 뮐러,한빛미디어,2022년 02월,"29,700",9.9,https://image.yes24.com/goods/107680777/L,107680777
데이터 과학을 위한 통계,피터 브루스,한빛미디어,2021년 05월,"30,600",9.6,https://image.yes24.com/goods/99942893/L,99942893
파이썬 코딩 도장,남재윤,길벗,2018년 11월,"22,500",9.5,https://image.yes24.com/goods/66758183/L,66758183
파이썬 딥러닝 파이토치 (Python Deep Learning PyTorch),이경택,정보문화사,2020년 10월,"22,500",9.3,https://image.yes24.com/goods/93376077/L,93376077
The Python 3 Standard Library by Example,더그 헬먼,에이콘출판사,2020년 06월,"52,200",9,https://image.yes24.com/goods/90576644/L,90576644
코어 파이썬 애플리케이션 프로그래밍 Core Python Applications Programming Third Edition,오현석,에이콘출판사,2014년 01월,"45,000",8,https://image.yes24.com/goods/11949670/L,11949670
Do it! 점프 투 장고,박응용,이지스퍼블리싱,2021년 01월,"17,820",9.8,https://image.yes24.com/goods/96376772/L,96376772
Python Programming for Beginners,제이슨 캐넌,에이콘출판사,2015년 11월,"15,300",4,https://image.yes24.com/goods/23029348/L,23029348
Python Design Patterns,제나디 즐로빈,에이콘출판사,2014년 03월,"10,800",,https://image.yes24.com/goods/12362965/L,12362965
Python Machine Learning by Example,요우시 리우,에이콘출판사,2018년 09월,"22,500",,https://image.yes24.com/goods/64096729/L,64096729
Building Machine Learning Systems with Python 한국어판,윌리 리커트,에이콘출판사,2015년 09월,"27,000",10,https://image.yes24.com/goods/20296766/L,20296766
CODING BASICS PYTHON,김상민,REXmedia(렉스미디어),2022년 02월,"18,000",,https://image.yes24.com/goods/107036371/L,107036371
OpenCV · Python 머신러닝 · 딥러닝 프로그래밍,김동근,가메출판사,2022년 03월,"23,400",,https://image.yes24.com/goods/108720317/L,108720317
최적합 전문코딩능력평가 COS PRO 2급 Python,장대경,성안당,2019년 04월,"19,800",10,https://image.yes24.com/goods/72307788/L,72307788
Do it! 파이썬 생활 프로그래밍,김창현,이지스퍼블리싱,2020년 07월,"18,000",9.5,https://image.yes24.com/goods/91437485/L,91437485
파이썬 머신러닝 판다스 데이터 분석,오승환,정보문화사,2019년 06월,"22,500",9.2,https://image.yes24.com/goods/74258258/L,74258258
파이썬 Python 1학년,모리 요시나오,성안당,2018년 12월,"15,300",9.9,https://image.yes24.com/goods/67451303/L,67451303
실무자를 위한 파이썬 Python 100제,오승환,정보문화사,2020년 02월,"18,000",9.6,https://image.yes24.com/goods/89342359/L,89342359
Python과 Pygame으로 게임 만들기,알 슈베이가르트,정보문화사,2014년 06월,"20,700",,https://image.yes24.com/goods/13709740/L,13709740
김변수와 시작하는 코딩생활 with 파이썬,코뮤니티 운영진(휴몬랩),영진닷컴,2022년 03월,"16,200",10,https://image.yes24.com/goods/108038633/L,108038633
Python 파이썬 2학년 스크래핑의 구조,모리 요시나오,성안당,2021년 11월,"15,300",9.6,https://image.yes24.com/goods/104862127/L,104862127
파이썬 Python 2학년,모리 요시나오,성안당,2021년 05월,"15,300",,https://image.yes24.com/goods/101510643/L,101510643
The Python - 파이썬 프로그래밍,허진경,BOOKK(부크크),2021년 09월,"32,000",,https://image.yes24.com/goods/103756013/L,103756013
프로그래머를 위한 Python? 파이썬,폴 데이텔,성안당,2021년 12월,"34,200",9.8,https://image.yes24.com/goods/105790286/L,105790286
Python 3 START-UP,신윤환,북스홀릭퍼블리싱,2018년 06월,"22,500",,https://image.yes24.com/goods/61510018/L,61510018
